Player,Age,ERA,G,GS,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Season
Logan Gilbert,27,3.23,33,33,208.2,148,83,75,26,37,1,220,4,0,115,3.27,0.887,6.4,1.1,1.6,9.5,5.95,2024
Seth Lugo,34,3,33,33,206.2,177,75,69,16,48,1,181,9,0,137,3.25,1.089,7.7,0.7,2.1,7.9,3.77,2024
Logan Webb,27,3.47,33,33,204.2,202,83,79,11,50,3,172,2,1,112,2.95,1.231,8.9,0.5,2.2,7.6,3.44,2024
Zack Wheeler,34,2.57,32,32,200,139,62,57,20,52,0,224,8,0,163,3.13,0.955,6.3,0.9,2.3,10.1,4.31,2024
Aaron Nola,31,3.57,33,33,199.1,189,84,79,30,50,0,197,3,0,117,3.94,1.199,8.5,1.4,2.3,8.9,3.94,2024
Corbin Burnes,29,2.92,32,32,194.1,165,76,63,22,48,0,181,2,3,133,3.55,1.096,7.6,1,2.2,8.4,3.77,2024
José Berríos,30,3.6,32,32,192.1,168,79,77,31,54,1,153,13,0,114,4.72,1.154,7.9,1.5,2.5,7.2,2.83,2024
Tarik Skubal*,27,2.39,31,31,192,142,54,51,15,35,0,228,9,0,174,2.49,0.922,6.7,0.7,1.6,10.7,6.51,2024
George Kirby,26,3.53,33,33,191,181,82,75,22,23,0,179,7,1,105,3.26,1.068,8.5,1,1.1,8.4,7.78,2024
Dylan Cease,28,3.47,33,33,189.1,137,80,73,18,65,0,224,2,0,118,3.1,1.067,6.5,0.9,3.1,10.6,3.45,2024
Jake Irvin,27,4.41,33,33,187.2,173,97,92,29,52,1,156,4,1,92,4.41,1.199,8.3,1.4,2.5,7.5,3,2024
Cole Ragans*,26,3.14,32,32,186.1,146,71,65,15,67,1,223,6,0,131,2.99,1.143,7.1,0.7,3.2,10.8,3.33,2024
Pablo López,28,4.08,32,32,185.1,180,90,84,26,41,0,198,8,0,103,3.65,1.192,8.7,1.3,2,9.6,4.83,2024
Kutter Crawford,28,4.36,33,33,183.2,155,97,89,34,51,0,175,9,0,95,4.65,1.122,7.6,1.7,2.5,8.6,3.43,2024
Luis Severino,30,3.91,31,31,182,166,86,79,23,60,0,161,11,2,101,4.21,1.242,8.2,1.1,3,8,2.68,2024
Sean Manaea*,32,3.47,32,32,181.2,134,75,70,21,63,0,184,9,0,114,3.83,1.084,6.6,1,3.1,9.1,2.92,2024
Brandon Pfaadt,25,4.71,32,32,181.2,183,103,95,24,42,1,185,4,0,89,3.61,1.239,9.1,1.2,2.1,9.2,4.4,2024
Cristopher Sánchez*,27,3.32,31,31,181.2,182,76,67,11,44,0,153,0,1,126,3,1.244,9,0.5,2.2,7.6,3.48,2024
Kevin Gausman,33,3.83,31,31,181,165,86,77,20,56,0,162,2,2,107,3.77,1.221,8.2,1,2.8,8.1,2.89,2024
JP Sears*,28,4.38,32,32,180.2,172,93,88,28,49,0,137,14,1,90,4.71,1.223,8.6,1.4,2.4,6.8,2.8,2024
Bryce Miller,25,2.94,31,31,180.1,131,62,59,21,45,1,171,3,0,126,3.58,0.976,6.5,1,2.2,8.5,3.8,2024
Brady Singer,27,3.71,32,32,179.2,175,77,74,22,54,0,170,10,0,111,3.93,1.275,8.8,1.1,2.7,8.5,3.15,2024
Tyler Anderson*,34,3.81,31,31,179.1,158,83,76,24,73,2,142,7,1,110,4.66,1.288,7.9,1.2,3.7,7.1,1.95,2024
Tanner Houck,28,3.12,30,30,178.2,156,75,62,11,48,1,154,16,0,133,3.32,1.142,7.9,0.6,2.4,7.8,3.21,2024
Bailey Ober,28,3.98,31,31,178.2,136,81,79,27,43,0,191,6,0,105,3.82,1.002,6.9,1.4,2.2,9.6,4.44,2024
Mitch Keller,28,4.25,31,31,178,182,90,84,23,50,0,166,15,2,98,4.08,1.303,9.2,1.2,2.5,8.4,3.32,2024
Chris Sale*,35,2.38,29,29,177.2,141,48,47,9,39,0,225,8,1,174,2.09,1.013,7.1,0.5,2,11.4,5.77,2024
Erick Fedde,31,3.3,31,31,177.1,154,66,65,20,52,0,154,5,1,125,3.86,1.162,7.8,1,2.6,7.8,2.96,2024
Framber Valdez*,30,2.91,28,28,176.1,140,60,57,13,55,0,169,6,1,138,3.25,1.106,7.1,0.7,2.8,8.6,3.07,2024
Yusei Kikuchi*,33,4.05,32,32,175.2,167,85,79,25,44,0,206,2,0,101,3.46,1.201,8.6,1.3,2.3,10.6,4.68,2024
Luis Castillo,31,3.64,30,30,175.1,158,73,71,25,47,2,175,5,0,102,3.91,1.169,8.1,1.3,2.4,9,3.72,2024
Carlos Rodón*,31,3.96,32,32,175,157,81,77,31,57,0,195,10,2,102,4.39,1.223,8.1,1.6,2.9,10,3.42,2024
Patrick Corbin*,34,5.62,32,32,174.2,208,114,109,25,54,1,139,3,0,72,4.41,1.5,10.7,1.3,2.8,7.2,2.57,2024
Nestor Cortes*,29,3.77,31,30,174.1,162,74,73,24,39,0,162,4,1,107,3.84,1.153,8.4,1.2,2,8.4,4.15,2024
Max Fried*,30,3.25,29,29,174.1,146,71,63,13,57,0,166,7,0,128,3.33,1.164,7.5,0.7,2.9,8.6,2.91,2024
Tanner Bibee,25,3.47,31,31,173.2,150,70,67,22,44,0,187,8,0,116,3.56,1.117,7.8,1.1,2.3,9.7,4.25,2024
Michael King,29,2.95,31,30,173.2,144,71,57,17,63,2,201,7,0,139,3.33,1.192,7.5,0.9,3.3,10.4,3.19,2024
Freddy Peralta,28,3.68,32,32,173.2,143,74,71,26,68,0,200,10,1,113,4.16,1.215,7.4,1.3,3.5,10.4,2.94,2024
Shota Imanaga*,30,2.91,29,29,173.1,149,66,56,27,28,0,174,3,0,137,3.72,1.021,7.7,1.4,1.5,9,6.21,2024
Griffin Canning,28,5.19,32,31,171.2,174,105,99,31,66,1,130,6,4,81,5.26,1.398,9.1,1.6,3.5,6.8,1.97,2024
Miles Mikolas,35,5.35,32,32,171.2,194,106,102,26,25,0,122,5,1,77,4.24,1.276,10.2,1.4,1.3,6.4,4.88,2024
Chris Bassitt,35,4.16,31,31,171,180,91,79,18,70,2,168,16,2,99,4.08,1.462,9.5,0.9,3.7,8.8,2.4,2024
Nathan Eovaldi,34,3.8,29,29,170.2,147,74,72,23,42,0,166,7,0,100,3.83,1.107,7.8,1.2,2.2,8.8,3.95,2024
Jose Quintana*,35,3.75,31,31,170.1,150,73,71,22,63,0,135,11,0,105,4.56,1.25,7.9,1.2,3.3,7.1,2.14,2024
Hunter Brown,25,3.49,31,30,170,156,71,66,18,60,0,179,5,1,115,3.58,1.271,8.3,1,3.2,9.5,2.98,2024
Kyle Gibson,36,4.24,30,30,169.2,161,91,80,23,68,1,151,4,0,97,4.42,1.35,8.5,1.2,3.6,8,2.22,2024
Colin Rea,33,4.29,32,27,167.2,169,83,80,29,43,1,135,10,0,97,4.75,1.264,9.1,1.6,2.3,7.2,3.14,2024
Ronel Blanco,30,2.8,30,29,167.1,114,56,52,22,68,0,166,2,0,144,4.15,1.088,6.1,1.2,3.7,8.9,2.44,2024
Michael Wacha,32,3.35,29,29,166.2,154,65,62,17,45,1,145,5,0,123,3.65,1.194,8.3,0.9,2.4,7.8,3.22,2024
MacKenzie Gore*,25,3.9,32,32,166.1,171,93,72,15,65,0,181,11,0,104,3.53,1.419,9.3,0.8,3.5,9.8,2.78,2024
Sonny Gray,34,3.84,28,28,166.1,142,79,71,21,39,0,203,3,1,107,3.12,1.088,7.7,1.1,2.1,11,5.21,2024
Charlie Morton,40,4.19,30,30,165.1,154,85,77,23,65,1,167,18,1,99,4.46,1.325,8.4,1.3,3.5,9.1,2.57,2024
Jameson Taillon,32,3.27,28,28,165.1,154,67,60,21,33,0,125,1,2,122,3.92,1.131,8.4,1.1,1.8,6.8,3.79,2024
Zach Eflin,30,3.59,28,28,165.1,166,71,66,22,24,0,134,3,0,110,3.76,1.149,9,1.2,1.3,7.3,5.58,2024
Austin Gomber*,30,4.75,30,30,165,178,89,87,30,38,0,116,1,0,100,4.83,1.309,9.7,1.6,2.1,6.3,3.05,2024
Brayan Bello,25,4.49,30,30,162.1,157,84,81,19,64,0,153,11,1,92,4.19,1.361,8.7,1.1,3.5,8.5,2.39,2024
Ryan Feltner,27,4.49,30,30,162.1,165,94,81,20,52,0,138,7,0,105,4.16,1.337,9.1,1.1,2.9,7.7,2.65,2024
Jack Flaherty,28,3.17,28,28,162,135,61,57,24,38,0,194,4,0,130,3.47,1.068,7.5,1.3,2.1,10.8,5.11,2024
Aaron Civale,29,4.36,31,31,161,158,82,78,29,52,0,149,6,0,93,4.74,1.304,8.8,1.6,2.9,8.3,2.87,2024
Chris Flexen,29,4.95,33,30,160,180,95,88,24,63,1,123,2,2,83,4.8,1.519,10.1,1.4,3.5,6.9,1.95,2024
Andrew Heaney*,33,4.28,32,31,160,159,84,76,23,41,1,159,12,0,89,4.04,1.25,8.9,1.3,2.3,8.9,3.88,2024
Zack Littell,28,3.63,29,29,156.1,164,68,63,22,31,0,141,5,0,110,3.88,1.247,9.4,1.3,1.8,8.1,4.55,2024
Marcus Stroman,33,4.31,30,29,154.2,167,81,74,19,60,0,113,8,0,94,4.62,1.468,9.7,1.1,3.5,6.6,1.88,2024
Luis Gil,26,3.5,29,29,151.2,104,60,59,18,77,0,171,8,2,115,4.14,1.193,6.2,1.1,4.6,10.1,2.22,2024
Mitch Spence,26,4.58,35,24,151.1,165,79,77,20,44,0,126,6,1,86,4.21,1.381,9.8,1.2,2.6,7.5,2.86,2024
Ben Lively,32,3.81,29,29,151,139,67,64,23,49,0,118,5,1,106,4.66,1.245,8.3,1.4,2.9,7,2.41,2024
Mitchell Parker*,24,4.29,29,29,151,154,82,72,18,43,0,133,2,0,95,3.85,1.305,9.2,1.1,2.6,7.9,3.09,2024
Ryne Nelson,26,4.24,28,25,150.2,155,73,71,17,34,2,126,5,0,99,3.74,1.254,9.3,1,2,7.5,3.71,2024
Ranger Suárez*,28,3.46,27,27,150.2,140,63,58,14,41,1,145,5,2,121,3.37,1.201,8.4,0.8,2.4,8.7,3.54,2024
Frankie Montas,31,4.84,30,30,150.2,140,89,81,24,66,0,148,6,0,89,4.71,1.367,8.4,1.4,3.9,8.8,2.24,2024
Hunter Greene,24,2.75,26,26,150.1,96,47,46,12,57,0,169,19,1,160,3.47,1.018,5.7,0.7,3.4,10.1,2.96,2024
Cal Quantrill,29,4.98,29,29,148.1,156,83,82,23,69,0,110,11,1,95,5.32,1.517,9.5,1.4,4.2,6.7,1.59,2024
Zac Gallen,28,3.65,28,28,148,133,62,60,13,54,0,156,4,0,115,3.38,1.264,8.1,0.8,3.3,9.5,2.89,2024
Javier Assad,26,3.73,29,29,147,143,64,61,20,63,0,124,5,0,107,4.64,1.401,8.8,1.2,3.9,7.6,1.97,2024
Matt Waldron,27,4.91,27,26,146.2,145,84,80,21,40,0,133,11,1,84,4.26,1.261,8.9,1.3,2.5,8.2,3.33,2024
Garrett Crochet*,25,3.58,32,32,146,123,61,58,18,33,0,209,5,1,115,2.69,1.068,7.6,1.1,2,12.9,6.33,2024
Nick Pivetta,31,4.14,27,26,145.2,128,70,67,28,36,1,172,1,0,100,4.07,1.126,7.9,1.7,2.2,10.6,4.78,2024
Spencer Arrighetti,24,4.53,29,28,145,139,80,73,21,65,0,171,7,0,89,4.18,1.407,8.6,1.3,4,10.6,2.63,2024
Bailey Falter*,27,4.43,28,28,142.1,138,72,70,17,45,0,97,0,0,94,4.3,1.286,8.7,1.1,2.8,6.1,2.16,2024
Nick Martinez,33,3.1,42,16,142.1,128,56,49,13,18,0,116,5,0,142,3.21,1.026,8.1,0.8,1.1,7.3,6.44,2024
Gavin Stone,25,3.53,25,25,140.1,133,55,55,18,37,0,116,2,0,113,4.01,1.211,8.5,1.2,2.4,7.4,3.14,2024
Andrew Abbott*,25,3.72,25,25,138,127,60,57,25,52,1,114,2,0,118,5.04,1.297,8.3,1.6,3.4,7.4,2.19,2024
Taj Bradley,23,4.11,25,25,138,122,68,63,22,47,0,154,3,0,97,4.09,1.225,8,1.4,3.1,10,3.28,2024
Tobias Myers,25,3,27,25,138,126,52,46,18,36,0,127,5,5,138,3.91,1.174,8.2,1.2,2.3,8.3,3.53,2024
Reynaldo López,30,1.99,26,25,135.2,108,32,30,10,42,0,148,2,1,208,2.92,1.106,7.2,0.7,2.8,9.8,3.52,2024
Luis Ortiz,25,3.32,37,15,135.2,109,56,50,16,42,3,107,9,1,125,4.25,1.113,7.2,1.1,2.8,7.1,2.55,2024
Joe Ryan,28,3.6,23,23,135,110,59,54,19,23,0,147,5,1,116,3.44,0.985,7.3,1.3,1.5,9.8,6.39,2024
Martín Pérez*,33,4.53,26,26,135,151,71,68,22,49,0,107,5,1,91,4.9,1.481,10.1,1.5,3.3,7.1,2.18,2024
Justin Steele*,28,3.07,24,24,134.2,111,54,46,12,37,0,135,4,0,130,3.23,1.099,7.4,0.8,2.5,9,3.65,2024
Tyler Glasnow,30,3.49,22,22,134,92,53,52,15,35,0,168,0,1,114,2.9,0.948,6.2,1,2.4,11.3,4.8,2024
Albert Suárez,34,3.7,32,24,133.2,130,56,55,17,43,1,108,3,1,105,4.24,1.294,8.8,1.1,2.9,7.3,2.51,2024
Simeon Woods Richardson,23,4.17,28,28,133.2,125,63,62,16,48,0,117,3,0,100,4.12,1.294,8.4,1.1,3.2,7.9,2.44,2024
Paul Skenes,22,1.96,23,23,133,94,31,29,10,32,0,170,6,1,211,2.44,0.947,6.4,0.7,2.2,11.5,5.31,2024
Kyle Hendricks,34,5.92,29,24,130.2,147,88,86,21,43,0,87,3,0,67,4.98,1.454,10.1,1.4,3,6,2.02,2024
Michael Lorenzen,32,3.31,26,24,130.1,101,49,48,17,60,0,97,6,0,117,4.89,1.235,7,1.2,4.1,6.7,1.62,2024
Ryan Pepiot,26,3.6,26,26,130,102,58,52,17,48,0,142,7,0,111,3.95,1.154,7.1,1.2,3.3,9.8,2.96,2024
Dean Kremer,28,4.1,24,24,129.2,110,72,59,18,51,0,123,3,1,95,4.32,1.242,7.6,1.2,3.5,8.5,2.41,2024
Alec Marsh,26,4.53,26,25,129,123,70,65,19,39,1,123,11,1,91,4.34,1.256,8.6,1.3,2.7,8.6,3.15,2024
