Player,Age,ERA,G,GS,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Season
Hoby Milner*,33,4.73,61,1,64.2,63,38,34,6,14,2,64,2,0,88,3.14,1.191,8.8,0.8,1.9,8.9,4.57,2024
David Festa,24,4.9,14,13,64.1,62,36,35,9,23,0,77,2,1,86,3.76,1.321,8.7,1.3,3.2,10.8,3.35,2024
Tyler Kinley,33,6.19,67,0,64,61,44,44,11,33,2,72,2,0,77,4.79,1.469,8.6,1.5,4.6,10.1,2.18,2024
Enyel De Los Santos,28,5.2,64,0,64,65,38,37,17,25,1,66,5,0,80,5.96,1.406,9.1,2.4,3.5,9.3,2.64,2024
Phil Maton,31,3.66,71,0,64,47,27,26,7,24,1,60,9,0,110,4.26,1.109,6.6,1,3.4,8.4,2.5,2024
Kyle Finnegan,32,3.68,65,0,63.2,61,31,26,9,24,3,60,0,0,111,4.25,1.335,8.6,1.3,3.4,8.5,2.5,2024
Adrián Morejón*,25,2.83,60,0,63.2,63,24,20,4,21,2,71,1,1,146,2.79,1.319,8.9,0.6,3,10,3.38,2024
Osvaldo Bido,28,3.41,16,9,63.1,43,25,24,3,26,1,63,7,0,116,3.36,1.089,6.1,0.4,3.7,9,2.42,2024
Jesse Chavez,40,3.13,46,0,63.1,60,27,22,10,19,1,55,1,1,133,4.43,1.247,8.5,1.4,2.7,7.8,2.89,2024
Greg Weissert,29,3.13,62,0,63.1,65,32,22,7,20,4,58,0,0,133,3.72,1.342,9.2,1,2.8,8.2,2.9,2024
Clay Holmes,31,3.14,67,0,63,60,29,22,4,22,1,68,3,0,129,3.02,1.302,8.6,0.6,3.1,9.7,3.09,2024
Daniel Hudson,37,3,65,0,63,46,25,21,10,19,1,63,1,0,133,4.18,1.032,6.6,1.4,2.7,9,3.32,2024
Orion Kerkering,23,2.29,64,2,63,51,20,16,2,17,0,74,8,0,184,2.42,1.079,7.3,0.3,2.4,10.6,4.35,2024
Génesis Cabrera*,27,3.59,69,0,62.2,63,31,25,10,29,4,50,2,2,115,5.13,1.468,9,1.4,4.2,7.2,1.72,2024
Yuki Matsui*,28,3.73,64,0,62.2,46,27,26,8,27,4,69,0,0,110,3.92,1.165,6.6,1.1,3.9,9.9,2.56,2024
Matt Strahm*,32,1.87,66,0,62.2,36,14,13,4,11,1,79,6,0,225,2.29,0.75,5.2,0.6,1.6,11.3,7.18,2024
Bryan Hudson*,27,1.73,43,0,62.1,28,12,12,7,17,0,62,3,1,240,3.6,0.722,4,1,2.5,9,3.65,2024
Jared Koenig*,30,2.47,55,6,62,54,22,17,4,23,4,63,4,0,169,3.28,1.242,7.8,0.6,3.3,9.1,2.74,2024
Tyson Miller,28,2.32,58,0,62,39,18,16,7,11,0,54,5,0,171,3.67,0.806,5.7,1,1.6,7.8,4.91,2024
José Alvarado*,29,4.09,66,0,61.2,49,30,28,6,28,1,63,1,0,103,3.8,1.249,7.2,0.9,4.1,9.2,2.25,2024
Aroldis Chapman*,36,3.79,68,0,61.2,44,31,26,5,39,0,98,2,2,110,3.04,1.346,6.4,0.7,5.7,14.3,2.51,2024
Kirby Yates,37,1.17,61,0,61.2,23,10,8,3,28,5,85,2,2,326,2.5,0.827,3.4,0.4,4.1,12.4,3.04,2024
Lucas Erceg,29,3.36,61,0,61.2,49,26,23,3,16,2,72,6,1,121,2.53,1.054,7.2,0.4,2.3,10.5,4.5,2024
Peter Lambert,27,5.72,28,3,61.1,73,42,39,7,29,2,50,2,0,83,4.54,1.663,10.7,1,4.3,7.3,1.72,2024
Jeremiah Estrada,25,2.95,62,0,61,42,22,20,4,23,1,94,0,0,140,2.07,1.066,6.2,0.6,3.4,13.9,4.09,2024
Austin Voth,32,3.69,68,0,61,46,31,25,9,18,0,61,3,0,101,4.12,1.049,6.8,1.3,2.7,9,3.39,2024
Emerson Hancock,25,4.75,12,12,60.2,62,37,32,12,19,0,39,6,0,78,5.69,1.335,9.2,1.8,2.8,5.8,2.05,2024
Yennier Cano,30,3.15,70,0,60,54,24,21,6,24,1,65,1,1,123,3.55,1.3,8.1,0.9,3.6,9.8,2.71,2024
Garrett Cleavinger*,30,3.75,68,0,60,52,29,25,6,31,0,71,7,0,107,4,1.383,7.8,0.9,4.7,10.7,2.29,2024
Jason Foley,28,3.15,69,0,60,51,28,21,5,20,2,46,2,1,132,3.82,1.183,7.7,0.8,3,6.9,2.3,2024
John King*,29,2.85,56,0,60,58,23,19,5,14,1,38,1,1,145,3.73,1.2,8.7,0.8,2.1,5.7,2.71,2024
Taylor Rogers*,33,2.4,64,0,60,53,22,16,7,22,0,64,2,0,163,3.75,1.25,8,1.1,3.3,9.6,2.91,2024
Robert Garcia*,28,4.22,72,0,59.2,55,34,28,4,16,1,75,1,0,97,2.38,1.19,8.3,0.6,2.4,11.3,4.69,2024
Justin Lawrence,29,6.49,56,0,59.2,73,52,43,9,33,1,45,7,0,73,5.63,1.777,11,1.4,5,6.8,1.36,2024
Dylan Lee*,29,2.11,52,0,59.2,49,19,14,7,17,4,76,0,0,197,3,1.106,7.4,1.1,2.6,11.5,4.47,2024
Joe Mantiply*,33,3.92,75,2,59.2,52,27,26,1,18,7,53,0,1,107,2.51,1.173,7.8,0.2,2.7,8,2.94,2024
Anthony Molina,22,6.79,35,1,59.2,72,46,45,5,22,1,41,2,0,70,4.09,1.575,10.9,0.8,3.3,6.2,1.86,2024
Bryce Jarvis,26,3.19,44,0,59.1,52,25,21,6,33,4,38,5,0,132,5.12,1.433,7.9,0.9,5,5.8,1.15,2024
Andrés Muñoz,25,2.12,60,0,59.1,31,16,14,6,26,3,77,3,1,175,3.35,0.961,4.7,0.9,3.9,11.7,2.96,2024
Héctor Neris,35,4.1,62,0,59.1,55,31,27,8,28,2,64,2,4,99,4.28,1.399,8.3,1.2,4.2,9.7,2.29,2024
Camilo Doval,26,4.88,62,0,59,54,35,32,5,39,2,78,2,0,80,3.71,1.576,8.2,0.8,5.9,11.9,2,2024
Joel Payamps,30,3.05,68,0,59,39,23,20,7,18,4,59,2,0,136,3.73,0.966,5.9,1.1,2.7,9,3.28,2024
JoJo Romero*,27,3.36,65,0,59,52,23,22,8,16,0,51,5,0,123,4.27,1.153,7.9,1.2,2.4,7.8,3.19,2024
Luis García,37,4.88,60,0,59,61,36,32,8,15,2,53,3,0,86,4.05,1.288,9.3,1.2,2.3,8.1,3.53,2024
Drew Smyly*,35,3.84,50,0,58.2,57,29,25,10,25,3,56,3,0,104,4.9,1.398,8.7,1.5,3.8,8.6,2.24,2024
Seranthony Domínguez,29,4.45,63,0,58.2,52,32,29,12,21,0,68,2,1,92,4.68,1.244,8,1.8,3.2,10.4,3.24,2024
Jorge Alcala,28,3.24,54,0,58.1,40,23,21,8,20,1,58,3,0,130,4.14,1.029,6.2,1.2,3.1,8.9,2.9,2024
Chris Stratton,33,5.55,57,0,58.1,53,38,36,5,33,1,44,3,0,74,4.62,1.474,8.2,0.8,5.1,6.8,1.33,2024
Chase Anderson,36,5.4,29,1,58.1,55,41,35,12,21,1,42,4,0,77,5.69,1.303,8.5,1.9,3.2,6.5,2,2024
Mike Baumann,28,5.55,57,0,58.1,59,40,36,9,28,1,58,4,0,74,4.83,1.491,9.1,1.4,4.3,8.9,2.07,2024
Mark Leiter Jr.,33,4.5,60,0,58,55,34,29,8,22,1,86,3,0,90,3.29,1.328,8.5,1.2,3.4,13.3,3.91,2024
David Bednar,29,5.77,62,0,57.2,54,40,37,9,28,3,58,3,0,72,4.8,1.422,8.4,1.4,4.4,9.1,2.07,2024
Nick Sandlin,27,3.75,68,1,57.2,46,29,24,12,27,2,68,6,0,108,5.23,1.266,7.2,1.9,4.2,10.6,2.52,2024
Nick Mears,27,5.93,54,0,57.2,61,40,38,7,24,1,75,0,0,78,3.39,1.474,9.5,1.1,3.7,11.7,3.13,2024
Alex Faedo,28,3.61,37,6,57.1,49,24,23,9,28,0,55,3,0,115,4.91,1.343,7.7,1.4,4.4,8.6,1.96,2024
Reed Garrett,31,3.77,53,0,57.1,50,28,24,6,30,1,83,2,0,105,3.31,1.395,7.8,0.9,4.7,13,2.77,2024
Max Meyer,25,5.68,11,11,57,62,38,36,14,19,0,46,3,0,75,5.9,1.421,9.8,2.2,3,7.3,2.42,2024
Zack Kelly,29,3.97,49,3,56.2,44,31,25,10,27,3,61,2,1,105,4.84,1.253,7,1.6,4.3,9.7,2.26,2024
James McArthur,27,4.92,57,0,56.2,68,36,31,8,14,2,49,3,0,84,4.17,1.447,10.8,1.3,2.2,7.8,3.5,2024
T.J. McFarland*,35,3.81,79,0,56.2,53,28,24,4,17,5,39,4,0,104,3.82,1.235,8.4,0.6,2.7,6.2,2.29,2024
Ryan Pressly,35,3.49,59,0,56.2,58,25,22,4,18,0,58,2,0,116,3.1,1.341,9.2,0.6,2.9,9.2,3.22,2024
Jacob Webb,30,3.02,60,0,56.2,40,23,19,4,27,1,58,1,0,129,3.52,1.182,6.4,0.6,4.3,9.2,2.15,2024
Alexis Díaz,27,3.99,60,0,56.1,42,31,25,6,31,1,55,6,1,111,4.57,1.296,6.7,1,5,8.8,1.77,2024
Pierce Johnson,33,3.67,58,0,56.1,48,25,23,6,25,1,67,2,0,113,3.61,1.296,7.7,1,4,10.7,2.68,2024
Andrew Chafin*,34,3.51,62,0,56.1,52,26,22,5,31,4,70,1,0,116,3.54,1.473,8.3,0.8,5,11.2,2.26,2024
Burch Smith,34,4.95,50,0,56.1,64,34,31,6,12,0,46,2,1,83,3.66,1.349,10.2,1,1.9,7.3,3.83,2024
Bobby Miller,25,8.52,13,13,56,69,53,53,17,30,0,52,2,0,47,6.97,1.768,11.1,2.7,4.8,8.4,1.73,2024
Adam Ottavino,38,4.34,60,0,56,49,29,27,6,23,1,70,7,0,91,3.67,1.286,7.9,1,3.7,11.3,3.04,2024
Shelby Miller,33,4.53,51,0,55.2,41,31,28,9,13,0,49,5,0,92,4.48,0.97,6.6,1.5,2.1,7.9,3.77,2024
Ben Brown,24,3.58,15,8,55.1,41,22,22,5,19,0,64,1,0,112,3.11,1.084,6.7,0.8,3.1,10.4,3.37,2024
Aaron Bummer*,30,3.58,56,0,55.1,61,24,22,2,18,2,69,2,0,116,2.23,1.428,9.9,0.3,2.9,11.2,3.83,2024
Justin Slaten,26,2.93,44,0,55.1,47,21,18,4,9,0,58,2,0,142,2.61,1.012,7.6,0.7,1.5,9.4,6.44,2024
Keaton Winn,26,7.16,12,12,55.1,56,44,44,9,20,0,48,4,0,55,4.85,1.373,9.1,1.5,3.3,7.8,2.4,2024
John Brebbia,34,5.86,59,0,55.1,56,36,36,11,19,0,67,3,0,71,4.52,1.355,9.1,1.8,3.1,10.9,3.53,2024
Ryne Stanek,32,4.88,63,0,55.1,48,32,30,8,25,2,67,3,0,78,4.14,1.319,7.8,1.3,4.1,10.9,2.68,2024
Scott Barlow,31,4.25,63,0,55,44,27,26,6,31,1,68,4,0,95,4.02,1.364,7.2,1,5.1,11.1,2.19,2024
Carlos Estévez,31,2.45,54,0,55,38,18,15,5,12,4,50,1,0,173,3.24,0.909,6.2,0.8,2,8.2,4.17,2024
Kenley Jansen,36,3.29,54,0,54.2,38,20,20,4,20,2,62,1,2,127,3,1.061,6.3,0.7,3.3,10.2,3.1,2024
Kyle Nicolas,25,3.95,51,0,54.2,51,30,24,4,31,1,55,4,1,105,4.03,1.5,8.4,0.7,5.1,9.1,1.77,2024
Evan Phillips,29,3.62,61,0,54.2,48,30,22,6,17,1,63,1,0,110,3.28,1.189,7.9,1,2.8,10.4,3.71,2024
Jhoan Duran,26,3.64,58,0,54.1,48,30,22,4,15,2,66,6,1,115,2.85,1.16,8,0.7,2.5,10.9,4.4,2024
Spencer Turnbull,31,2.65,17,7,54.1,37,17,16,6,20,0,58,5,0,159,3.85,1.049,6.1,1,3.3,9.6,2.9,2024
Caleb Ferguson*,27,4.64,62,0,54.1,56,34,28,6,25,1,67,4,0,88,3.74,1.491,9.3,1,4.1,11.1,2.68,2024
Edwin Díaz,30,3.52,54,0,53.2,36,23,21,7,20,0,84,3,0,112,3.02,1.043,6,1.2,3.4,14.1,4.2,2024
Calvin Faucher,28,3.19,53,0,53.2,49,25,19,0,26,3,63,4,0,135,2.5,1.398,8.2,0,4.4,10.6,2.42,2024
Cionel Pérez*,28,4.53,62,0,53.2,47,29,27,0,28,0,46,5,0,86,3.3,1.398,7.9,0,4.7,7.7,1.64,2024
Ángel Zerpa*,24,3.86,60,0,53.2,59,24,23,6,19,2,49,2,0,107,3.97,1.453,9.9,1,3.2,8.2,2.58,2024
Bryan Hoeing,27,2.18,34,2,53.2,43,15,13,4,14,1,43,0,0,195,3.32,1.062,7.2,0.7,2.3,7.2,3.07,2024
Justin Anderson,31,4.39,56,0,53.1,48,29,26,5,32,1,57,3,0,94,4.22,1.5,8.1,0.8,5.4,9.6,1.78,2024
