Player,Age,ERA,G,GS,IP,H,R,ER,HR,BB,IBB,SO,HBP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Season
Reed Garrett,32,3.9,58,1,55.1,47,27,24,5,26,2,64,1,238,103,3.46,1.319,7.6,0.8,4.2,10.4,2.46,2025
Lance McCullers Jr.,31,6.51,16,13,55.1,61,45,40,10,39,0,61,7,274,65,5.77,1.807,9.9,1.6,6.3,9.9,1.56,2025
Steven Wilson,30,3.42,59,0,55.1,50,21,21,7,22,2,51,3,241,123,4.29,1.301,8.1,1.1,3.6,8.3,2.32,2025
Jake Bird,29,5.53,48,0,55.1,60,37,34,7,25,4,66,3,248,88,3.91,1.536,9.8,1.1,4.1,10.7,2.64,2025
Luis García,38,3.42,58,0,55.1,55,23,21,2,26,5,48,0,233,125,3.28,1.464,8.9,0.3,4.2,7.8,1.85,2025
José Ureña,33,4.58,19,6,55,57,29,28,8,23,1,34,3,245,96,5.21,1.455,9.3,1.3,3.8,5.6,1.48,2025
Jorge Alcala,29,6.22,56,0,55,66,44,38,13,30,1,61,1,257,68,5.68,1.745,10.8,2.1,4.9,10,2.03,2025
Matt Festa,32,4.12,63,0,54.2,44,29,25,4,15,2,56,5,226,102,3.14,1.079,7.2,0.7,2.5,9.2,3.73,2025
Cade Gibson*,27,2.63,44,1,54.2,44,18,16,3,21,3,43,6,230,168,3.76,1.189,7.2,0.5,3.5,7.1,2.05,2025
Aaron Bummer*,31,3.81,42,2,54.1,51,27,23,3,17,4,51,11,235,109,3.52,1.252,8.4,0.5,2.8,8.4,3,2025
Brandon Walter*,28,3.35,9,9,53.2,46,20,20,10,4,0,52,3,212,125,4.01,0.932,7.7,1.7,0.7,8.7,13,2025
David Festa,25,5.4,11,10,53.1,49,35,32,10,19,0,53,4,229,79,4.88,1.275,8.3,1.7,3.2,8.9,2.79,2025
Andrew Kittredge,35,3.4,54,0,53,41,22,20,7,11,1,64,0,208,118,3.06,0.981,7,1.2,1.9,10.9,5.82,2025
Mason Fluharty*,23,4.44,55,0,52.2,36,28,26,6,24,4,56,2,215,96,3.97,1.139,6.2,1,4.1,9.6,2.33,2025
Josh Hader*,31,2.05,48,0,52.2,29,16,12,8,16,1,76,2,206,205,3.25,0.854,5,1.4,2.7,13,4.75,2025
Cole Henry,25,4.27,57,0,52.2,43,27,25,7,32,1,52,11,241,97,5.34,1.424,7.3,1.2,5.5,8.9,1.63,2025
Daniel Palencia,25,2.91,54,0,52.2,44,19,17,5,16,1,61,2,215,133,3.08,1.139,7.5,0.9,2.7,10.4,3.81,2025
Joe Boyle,25,4.67,13,9,52,43,33,27,6,28,1,58,3,226,88,4.19,1.365,7.4,1,4.8,10,2.07,2025
Brennan Bernardino*,33,3.14,55,3,51.2,39,23,18,1,26,5,43,3,224,132,3.41,1.258,6.8,0.2,4.5,7.5,1.65,2025
Tyler Gilbert*,31,3.88,46,5,51,40,24,22,5,24,3,49,2,215,108,4.02,1.255,7.1,0.9,4.2,8.6,2.04,2025
Joe Ross,32,5.12,37,1,51,57,30,29,8,18,1,39,3,228,86,4.88,1.471,10.1,1.4,3.2,6.9,2.17,2025
Luke Jackson,33,4.06,52,0,51,41,30,23,4,28,5,38,3,219,94,4.49,1.353,7.2,0.7,4.9,6.7,1.36,2025
Tobias Myers,26,3.55,22,6,50.2,54,21,20,5,15,0,38,2,220,117,3.92,1.362,9.6,0.9,2.7,6.8,2.53,2025
Randy Rodríguez,25,1.78,50,0,50.2,34,12,10,4,11,0,67,4,198,225,2.4,0.888,6,0.7,2,11.9,6.09,2025
Bennett Sousa*,30,2.84,44,0,50.2,37,18,16,4,15,0,59,0,199,148,2.72,1.026,6.6,0.7,2.7,10.5,3.93,2025
Victor Vodnik,25,3.02,52,0,50.2,45,19,17,4,26,2,49,0,215,162,3.77,1.401,8,0.7,4.6,8.7,1.88,2025
Taylor Rogers*,34,3.38,57,0,50.2,47,25,19,7,23,2,53,3,221,130,4.38,1.382,8.3,1.2,4.1,9.4,2.3,2025
Anthony Bender,30,2.16,51,0,50,32,13,12,3,21,2,42,2,204,205,3.62,1.06,5.8,0.5,3.8,7.6,2,2025
Braydon Fisher,24,2.7,52,1,50,32,15,15,4,19,1,62,3,202,159,3.02,1.02,5.8,0.7,3.4,11.2,3.26,2025
